Id,Label,name,attribute,event_id,meta_category,[z],Degree,modularity_class,shared_cluster,X,Y,Z,Size,Color
20011,,The Structure of Thought in Western and Eastern Civilizations: The decline of Science in India as a case Study,workshop,1,0,1,4,8,8,-674.653931,383.227112,0.003377,50,"#ff5584"
20012,,Fragmentation and Wholeness,workshop,1,0,1,3,5,5,-595.448059,124.939125,0.00856,50,"#df89ff"
20013,,The Re-Enchantment of the World,workshop,1,0,1,1,8,8,-737.064758,-181.677948,0.00932,50,"#ff5584"
20014,,"Politics, Economy and Science",workshop,1,0,1,3,0,0,-1104.936157,-158.962509,0.001938,50,"#d3b3b0"
20015,,Fragmentation and Wholeness in Science and Society,workshop,1,0,1,3,5,5,-555.249146,45.511307,0.004211,50,"#df89ff"
20016,,The Re-Imagination of the world and the transformation of Science,workshop,2,0,1,2,8,8,-752.908508,-80.999428,0.008368,50,"#ff5584"
20017,,"Wissenschaft, Religion, Meditation",workshop,1,0,1,6,8,8,-447.410614,308.929321,0.00251,50,"#ff5584"
20018,,Visuelle Gestaltung als Erfahrung,workshop,1,0,1,2,7,7,-604.124451,-800.006165,0.005084,50,"#00c4ff"
20019,,Wie erleben Künstler die Wisenschaftler,workshop,1,0,1,1,5,5,797.26178,-886.020264,0.007853,50,"#df89ff"
20020,,Halluzinogene und veränderte Zustände des Bewusstseins,workshop,1,0,1,3,4,4,752.428589,-707.10675,0.004477,50,"#ff8805"
20021,,Die Beziehung zwischen Körper und Seele,workshop,1,0,1,2,1,1,908.652649,-615.420105,0.001855,50,"#c0c0c0"
20022,,Alternative Healing Processes,workshop,1,0,1,3,4,4,455.316467,934.133545,0.009948,50,"#ff8805"
20023,,New Realms of Music,workshop,1,0,1,3,6,6,-286.708984,-373.758026,0.005055,50,"#4c463e"
20024,,Energetic View of Personalityand Behaviour,workshop,1,0,1,4,3,3,925.980713,-161.421768,0.009426,50,"#73c000"
20025,,Reading the Language of the Body,workshop,1,0,1,4,3,3,890.074219,-256.056244,0.001852,50,"#73c000"
20026,,Observer and Observed in Science,workshop,1,0,1,2,8,8,-1031.871826,28.788404,0.005583,50,"#ff5584"
20027,,Homöopathische Medizin Heute,workshop,1,0,1,2,4,4,785.845032,921.573242,0.005774,50,"#ff8805"
20028,,Science and Religion,workshop,1,0,1,3,5,5,-926.02356,127.672714,0.008655,50,"#df89ff"
20029,,Verschiedenen Arten Geistiger Heilweise,workshop,1,0,1,5,4,4,605.636963,179.709305,0.003233,50,"#ff8805"
20030,,Freies Malen im Raum zwischen Rationalität und Utopie,workshop,1,0,1,1,7,7,-599.67926,-913.497192,0.001474,50,"#00c4ff"
20031,,Myth and Science: Animism and the Narratives of Gaia,workshop,1,0,1,3,5,5,-763.73645,897.583435,0.004442,50,"#df89ff"
20032,,Myth and Modern Science,workshop,1,0,1,1,0,0,-1144.298584,459.017212,0.001002,50,"#d3b3b0"
20033,,Science Beyond Foundations,workshop,1,0,1,5,2,2,-172.35968,1115.504639,0.004401,50,"#00bd94"
20035,,Textcollage,workshop,1,0,1,2,7,7,129.400833,-616.761658,0.005027,50,"#00c4ff"
20036,,Body workshop Gonseth,workshop,1,0,1,5,7,7,662.88916,-112.478844,0.005446,50,"#00c4ff"
20037,,Wholeness and Diversity and the Ecology of mind,workshop,2,0,1,3,6,6,313.741608,896.148071,0.00253,50,"#4c463e"
20038,,"Einbezug von ökologischen, technischen und humanistischen Aspekten in die langfristige Planung der Industrie",workshop,2,0,1,6,5,5,-138.237946,521.985046,0.004774,50,"#df89ff"
20039,,Wissenschaft/Wirtschaft/Ethik,workshop,2,0,1,5,5,5,-232.205261,406.59848,0.006812,50,"#df89ff"
20040,,Lebendig leben- aber wie?,workshop,2,0,1,1,3,3,905.93811,-470.089752,0.00529,50,"#73c000"
20041,,Spannung zwischen Berufs- und Privatleben,workshop,2,0,1,1,3,3,978.309998,-372.558441,0.009095,50,"#73c000"
20042,,"Wissenschaft und christliche Kosmologie, ein Gegensatz?",workshop,2,0,1,2,5,5,-606.679749,862.473694,0.009144,50,"#df89ff"
20043,,Meister Eckhart und die Ueberwindung der Subjekt/Objekt-Spaltung,workshop,2,0,1,8,4,4,-111.156456,166.082932,0.008851,50,"#ff8805"
20044,,Body workshop Gonseth 2,workshop,2,0,1,4,7,7,934.818542,231.577301,0.009236,50,"#00c4ff"
20045,,A Neurobiologist's View of the Scientist's Mind,workshop,2,0,1,2,4,4,46.278084,1053.875977,0.00444,50,"#ff8805"
20046,,Wissenschaftliche und ethische Probleme in der Molekularbiologie und Gentechnologie,workshop,2,0,1,3,5,5,-87.528839,1016.431458,0.00176,50,"#df89ff"
20047,,Sinnesorgane und Perzeptionsfelder des Menschen,workshop,2,0,1,4,4,4,799.179688,416.097748,0.002106,50,"#ff8805"
20048,,Theaterimprovisation,workshop,2,0,1,4,6,6,-172.532532,-1003.037292,0.000543,50,"#4c463e"
20049,,Masken - Gestalten,workshop,2,0,1,4,6,6,-41.184963,-653.957947,0.003532,50,"#4c463e"
20050,,Stein-Holz-Eisen,workshop,2,0,1,3,7,7,-400.203094,-811.644043,0.00248,50,"#00c4ff"
20051,,Musik-Improvisation,workshop,2,0,1,6,6,6,497.1073,-512.157654,0.006856,50,"#4c463e"
20052,,Collagen,workshop,2,0,1,2,7,7,-490.10022,-922.942383,0.009879,50,"#00c4ff"
20053,,Zen-Meditation,workshop,2,0,1,3,4,4,502.053131,530.570984,0.005374,50,"#ff8805"
20054,,The Samkhya View of Science,workshop,2,0,1,6,8,8,-1.963216,418.156464,0.005029,50,"#ff5584"
20055,,Gegensätze und Harmonien in der Modernen Architektur,workshop,2,0,1,3,4,4,1128.953125,302.03653,0.003614,50,"#ff8805"
20056,,The coevolution of global interconnectedness and education,workshop,2,0,1,3,6,6,-966.916443,-474.615906,0.000947,50,"#4c463e"
20057,,Das Sender/Empfänger Konzept der Wirklichkeit,workshop,2,0,1,4,8,8,-526.767944,786.03009,0.005574,50,"#ff5584"
20058,,Psychologische Grundlagen der Alchemie,workshop,2,0,1,5,1,1,10.095855,157.604645,0.00919,50,"#c0c0c0"
20059,,Glauben in Wissenschaft und Religion,workshop,2,0,1,6,8,8,-735.387512,102.315384,0.002899,50,"#ff5584"
20060,,Die Gegensätze Erotik/Religion und Frau/Spiritualität,workshop,2,0,1,5,0,0,-901.152588,274.756378,0.00593,50,"#d3b3b0"
20061,,Astronomische Forschung und ihre Entwicklung,workshop,2,0,1,2,2,2,129.181747,1137.72876,0.006593,50,"#00bd94"
20062,,Kunst und Erziehung - Erfahrungen im Bereich des Malens,workshop,2,0,1,3,0,0,-811.86792,-625.274658,0.004567,50,"#d3b3b0"
20063,,Gemeinsame Wandmalerei,workshop,2,0,1,2,7,7,-379.235535,-967.779663,0.009281,50,"#00c4ff"
20064,,Gedächtnis und Antizipation,workshop,3,0,1,4,2,2,-36.010151,1157.109863,0.000956,50,"#00bd94"
20065,,Das Problem der Realität in der Physik,workshop,3,0,1,6,8,8,-820.550598,422.324036,0.002783,50,"#ff5584"
20066,,Aesthetik des Lebendigen,workshop,3,0,1,7,2,2,-190.248672,-70.584427,0.003463,50,"#00bd94"
20067,,Wahrnehmung in Zen-Buddhismus,workshop,3,0,1,3,4,4,622.728821,543.60791,0.00887,50,"#ff8805"
20068,,Olfaktorische Wahrnehmung,workshop,3,0,1,3,4,4,107.053947,803.342834,0.007476,50,"#ff8805"
20069,,Wie wirklich ist die Wirklichkeit,workshop,3,0,1,3,8,8,-926.740906,698.222168,0.008059,50,"#ff5584"
20070,,Kindliche Wahrnehmung - dialogische Wahrnehmung,workshop,3,0,1,5,5,5,89.844894,580.014832,0.004355,50,"#df89ff"
20071,,Das Pendel als Hilsmittel zur Wahrnehmung,workshop,3,0,1,4,4,4,829.855286,292.758972,0.009697,50,"#ff8805"
20072,,Overtone Music. Theory and Praxis,workshop,3,0,1,5,6,6,323.649567,-444.086975,0.00016,50,"#4c463e"
20073,,Colour and Vision,workshop,3,0,1,1,4,4,696.713989,768.501099,0.006388,50,"#ff8805"
20075,,Tai-ci-Quan,workshop,3,0,1,3,3,3,761.905823,49.35511,0.005499,50,"#73c000"
20076,,Perception of future economy and ethics,workshop,3,0,1,2,5,5,-548.693726,1025.908569,0.001269,50,"#df89ff"
