source,target,event_id
20,5001,1
20,5002,1
21,5001,1
21,5002,1
27,5003,1
27,5004,1
33,5005,1
33,5006,1
33,5007,1
33,5008,1
36,5009,1
36,5010,1
36,5011,1
36,5012,1
100,5013,1
100,5014,1
101,5013,1
101,5015,1
102,5013,1
102,5015,1
102,5016,1
11,5017,1
11,5018,1
11,5019,1
11,5085,1
12,5021,1
12,5022,1
12,5023,1
13,5020,1
14,5023,1
14,5029,1
14,5030,1
15,5021,1
15,5022,1
15,5023,1
17,5023,1
17,5024,1
17,5025,1
17,5026,1
17,5027,1
17,5028,1
18,5031,1
18,5028,1
19,5042,1
22,5032,1
22,5033,1
22,5046,1
23,5028,1
23,5034,1
23,5017,1
24,5036,1
24,5035,1
24,5043,1
24,5013,1
25,5013,1
25,5035,1
25,5036,1
25,5043,1
26,5023,1
26,5037,1
28,5023,1
28,5024,1
28,5026,1
29,5033,1
29,5032,1
29,5043,1
29,5041,1
29,5028,1
30,5031,1
31,5044,1
31,5045,1
31,5047,1
32,5044,1
33,5023,1
35,5031,1
35,5043,1
37,5048,2
37,5049,2
37,5050,2
38,5051,2
38,5052,2
38,5053,2
38,5054,2
38,5055,2
38,5022,2
39,5051,2
39,5052,2
39,5054,2
39,5055,2
39,5022,2
40,5043,2
41,5043,2
42,5046,2
42,5026,2
43,5010,2
43,5037,2
43,5046,2
43,5017,2
43,5028,2
43,5055,2
43,5025,2
43,5014,2
44,5011,2
44,5010,2
44,5009,2
44,5013,2
36,5013,1
103,5013,2
103,5014,2
103,5022,2
103,5043,2
104,5013,2
104,5015,2
104,5036,2
104,5043,2
101,5043,1
101,5036,1
105,5016,2
105,5041,2
105,5013,2
105,5035,2
105,5015,2
102,5041,1
102,5035,1
45,5023,2
45,5048,2
46,5056,2
46,5051,2
46,5023,2
47,5057,2
47,5028,2
47,5058,2
47,5013,2
48,5059,2
48,5060,2
49,5014,2
49,5059,2
49,5031,2
49,5061,2
48,5061,2
48,5062,2
50,5063,2
50,5064,2
50,5031,2
51,5065,2
51,5060,2
51,5034,2
51,5013,2
51,5014,2
51,5028,2
52,5066,2
52,5031,2
53,5025,2
53,5039,2
53,5041,2
106,5067,2
106,5068,2
106,5062,2
106,5069,2
54,5023,2
54,5019,2
54,5017,2
54,5015,2
54,5022,2
54,5070,2
55,5071,2
55,5072,2
55,5073,2
56,5076,2
56,5075,2
56,5074,2
57,5070,2
57,5077,2
57,5055,2
57,5078,2
58,5080,2
58,5028,2
58,5079,2
58,5020,2
58,5015,2
59,5023,2
59,5024,2
59,5028,2
59,5027,2
59,5081,2
59,5017,2
60,5024,2
60,5082,2
60,5083,2
60,5026,2
60,5038,2
61,5023,2
61,5084,2
62,5076,2
62,5031,2
62,5028,2
16,5020,2
16,5085,2
63,5031,2
63,5064,2
64,5023,3
64,5086,3
64,5087,3
64,5088,3
65,5085,3
65,5078,3
65,5077,3
65,5070,3
65,5037,3
65,5089,3
66,5090,3
66,5089,3
66,5091,3
66,5092,3
66,5005,3
66,5014,3
66,5020,3
67,5039,3
67,5057,3
67,5041,3
68,5023,3
68,5057,3
68,5026,3
69,5093,3
69,5078,3
69,5077,3
