Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
87,81,Undirected,2,,1,personal,,"#000000"
51,34,Undirected,3,,1,personal,,"#000000"
16,90,Undirected,4,,1,personal,,"#000000"
16,24,Undirected,7,,1,personal,,"#000000"
34,101,Undirected,13,,1,personal,,"#000000"
78,102,Undirected,14,,1,personal,,"#000000"
80,119,Undirected,15,,1,personal,,"#000000"
147,133,Undirected,20,,1,personal,,"#000000"
164,147,Undirected,23,,1,personal,,"#000000"
165,188,Undirected,24,,1,personal,,"#000000"
189,1,Undirected,31,,1,personal,,"#000000"
193,289,Undirected,32,,1,personal,,"#000000"
184,129,Undirected,34,,1,personal,,"#000000"
21,299,Undirected,41,,1,personal,,"#000000"
301,302,Undirected,42,,1,personal,,"#000000"
301,51,Undirected,43,,1,personal,,"#000000"
304,289,Undirected,44,,1,personal,,"#000000"
315,18,Undirected,45,,1,personal,,"#000000"
1,305,Undirected,46,,1,personal,,"#000000"
50,311,Undirected,51,,1,personal,,"#000000"
311,90,Undirected,52,,1,personal,,"#000000"
1,327,Undirected,57,,1,personal,,"#000000"
327,78,Undirected,58,,1,personal,,"#000000"
78,1,Undirected,59,,1,personal,,"#000000"
78,133,Undirected,65,,1,personal,,"#000000"
58,41,Undirected,72,,1,personal,,"#000000"
184,276,Undirected,2928,person-person,1,,person<--->person,"#000000"
276,322,Undirected,2929,person-person,2,,person<--->person,"#000000"
276,330,Undirected,2930,person-person,1,,person<--->person,"#000000"
157,176,Undirected,2924,person-person,1,,person<--->person,"#000000"
157,276,Undirected,2925,person-person,1,,person<--->person,"#000000"
176,276,Undirected,2926,person-person,2,,person<--->person,"#000000"
176,357,Undirected,2927,person-person,1,,person<--->person,"#000000"
118,322,Undirected,2922,person-person,1,,person<--->person,"#000000"
118,330,Undirected,2923,person-person,1,,person<--->person,"#000000"
118,184,Undirected,2920,person-person,1,,person<--->person,"#000000"
118,276,Undirected,2921,person-person,2,,person<--->person,"#000000"
118,157,Undirected,2919,person-person,1,,person<--->person,"#000000"
97,357,Undirected,2918,person-person,1,,person<--->person,"#000000"
97,276,Undirected,2917,person-person,1,,person<--->person,"#000000"
97,118,Undirected,2916,person-person,1,,person<--->person,"#000000"
96,357,Undirected,2915,person-person,1,,person<--->person,"#000000"
79,178,Undirected,2906,person-person,1,,person<--->person,"#000000"
80,357,Undirected,2907,person-person,1,,person<--->person,"#000000"
84,118,Undirected,2908,person-person,2,,person<--->person,"#000000"
78,178,Undirected,2904,person-person,1,,person<--->person,"#000000"
79,87,Undirected,2905,person-person,1,,person<--->person,"#000000"
78,79,Undirected,2903,person-person,1,,person<--->person,"#000000"
75,178,Undirected,2902,person-person,1,,person<--->person,"#000000"
74,147,Undirected,2901,person-person,1,,person<--->person,"#000000"
72,330,Undirected,2900,person-person,1,,person<--->person,"#000000"
72,322,Undirected,2899,person-person,1,,person<--->person,"#000000"
84,157,Undirected,2909,person-person,1,,person<--->person,"#000000"
84,276,Undirected,2910,person-person,3,,person<--->person,"#000000"
84,357,Undirected,2911,person-person,1,,person<--->person,"#000000"
87,147,Undirected,2912,person-person,2,,person<--->person,"#000000"
72,176,Undirected,2897,person-person,1,,person<--->person,"#000000"
72,276,Undirected,2898,person-person,1,,person<--->person,"#000000"
72,96,Undirected,2895,person-person,1,,person<--->person,"#000000"
72,118,Undirected,2896,person-person,1,,person<--->person,"#000000"
96,157,Undirected,2913,person-person,1,,person<--->person,"#000000"
96,276,Undirected,2914,person-person,2,,person<--->person,"#000000"
34,75,Undirected,2891,person-person,1,,person<--->person,"#000000"
34,79,Undirected,2892,person-person,1,,person<--->person,"#000000"
44,79,Undirected,2893,person-person,1,,person<--->person,"#000000"
72,84,Undirected,2894,person-person,1,,person<--->person,"#000000"
33,79,Undirected,2890,person-person,1,,person<--->person,"#000000"
21,147,Undirected,2883,person-person,1,,person<--->person,"#000000"
27,72,Undirected,2884,person-person,1,,person<--->person,"#000000"
27,84,Undirected,2885,person-person,1,,person<--->person,"#000000"
27,276,Undirected,2886,person-person,1,,person<--->person,"#000000"
27,322,Undirected,2887,person-person,1,,person<--->person,"#000000"
27,330,Undirected,2888,person-person,1,,person<--->person,"#000000"
33,34,Undirected,2889,person-person,1,,person<--->person,"#000000"
8,276,Undirected,2875,person-person,1,,person<--->person,"#000000"
8,322,Undirected,2876,person-person,1,,person<--->person,"#000000"
21,47,Undirected,2877,person-person,1,,person<--->person,"#000000"
21,74,Undirected,2878,person-person,1,,person<--->person,"#000000"
21,78,Undirected,2879,person-person,4,,person<--->person,"#000000"
21,81,Undirected,2880,person-person,1,,person<--->person,"#000000"
21,87,Undirected,2881,person-person,5,,person<--->person,"#000000"
21,98,Undirected,2882,person-person,1,,person<--->person,"#000000"
1,6,Undirected,2869,person-person,1,,person<--->person,"#000000"
1,299,Undirected,2870,person-person,1,,person<--->person,"#000000"
6,75,Undirected,2871,person-person,1,,person<--->person,"#000000"
6,78,Undirected,2872,person-person,1,,person<--->person,"#000000"
6,79,Undirected,2873,person-person,1,,person<--->person,"#000000"
8,84,Undirected,2874,person-person,1,,person<--->person,"#000000"
44,80,Undirected,2008,person-person,1,,person<--->person,"#000000"
78,289,Undirected,2093,person-person,1,,person<--->person,"#000000"
78,189,Undirected,2091,person-person,1,,person<--->person,"#000000"
78,188,Undirected,2090,person-person,1,,person<--->person,"#000000"
80,322,Undirected,2135,person-person,2,,person<--->person,"#000000"
80,325,Undirected,2136,person-person,2,,person<--->person,"#000000"
44,78,Undirected,2007,person-person,1,,person<--->person,"#000000"
78,87,Undirected,2069,person-person,2,,person<--->person,"#000000"
78,84,Undirected,2068,person-person,2,,person<--->person,"#000000"
44,76,Undirected,2006,person-person,1,,person<--->person,"#000000"
44,74,Undirected,2005,person-person,1,,person<--->person,"#000000"
44,47,Undirected,2004,person-person,2,,person<--->person,"#000000"
34,355,Undirected,2003,person-person,1,,person<--->person,"#000000"
34,308,Undirected,2002,person-person,1,,person<--->person,"#000000"
78,94,Undirected,2070,person-person,1,,person<--->person,"#000000"
78,81,Undirected,2066,person-person,1,,person<--->person,"#000000"
78,80,Undirected,2065,person-person,2,,person<--->person,"#000000"
34,276,Undirected,2000,person-person,1,,person<--->person,"#000000"
