Source,Target,Type,Id,Label,Weight,attribute,Color
198,201,Undirected,0,,1,personal,"#000000"
203,74,Undirected,1,,1,personal,"#000000"
87,81,Undirected,2,,1,personal,"#000000"
51,34,Undirected,3,,1,personal,"#000000"
16,90,Undirected,4,,1,personal,"#000000"
204,98,Undirected,5,,1,personal,"#000000"
105,271,Undirected,6,,1,personal,"#000000"
16,24,Undirected,7,,1,personal,"#000000"
110,274,Undirected,8,,1,personal,"#000000"
275,95,Undirected,9,,1,personal,"#000000"
277,76,Undirected,10,,1,personal,"#000000"
278,77,Undirected,11,,1,personal,"#000000"
279,83,Undirected,12,,1,personal,"#000000"
34,101,Undirected,13,,1,personal,"#000000"
78,102,Undirected,14,,1,personal,"#000000"
80,119,Undirected,15,,1,personal,"#000000"
280,132,Undirected,16,,1,personal,"#000000"
198,142,Undirected,17,,1,personal,"#000000"
281,19,Undirected,18,,1,personal,"#000000"
282,19,Undirected,19,,1,personal,"#000000"
147,133,Undirected,20,,1,personal,"#000000"
164,283,Undirected,21,,1,personal,"#000000"
164,205,Undirected,22,,1,personal,"#000000"
164,147,Undirected,23,,1,personal,"#000000"
165,188,Undirected,24,,1,personal,"#000000"
284,34,Undirected,25,,1,personal,"#000000"
284,178,Undirected,26,,1,personal,"#000000"
285,181,Undirected,27,,1,personal,"#000000"
286,185,Undirected,28,,1,personal,"#000000"
287,185,Undirected,29,,1,personal,"#000000"
288,18,Undirected,30,,1,personal,"#000000"
189,1,Undirected,31,,1,personal,"#000000"
193,289,Undirected,32,,1,personal,"#000000"
193,290,Undirected,33,,1,personal,"#000000"
184,129,Undirected,34,,1,personal,"#000000"
177,291,Undirected,35,,1,personal,"#000000"
177,292,Undirected,36,,1,personal,"#000000"
177,204,Undirected,37,,1,personal,"#000000"
177,294,Undirected,38,,1,personal,"#000000"
177,293,Undirected,39,,1,personal,"#000000"
177,295,Undirected,40,,1,personal,"#000000"
21,299,Undirected,41,,1,personal,"#000000"
301,302,Undirected,42,,1,personal,"#000000"
301,51,Undirected,43,,1,personal,"#000000"
304,289,Undirected,44,,1,personal,"#000000"
315,18,Undirected,45,,1,personal,"#000000"
1,305,Undirected,46,,1,personal,"#000000"
22,316,Undirected,47,,1,personal,"#000000"
13,316,Undirected,48,,1,personal,"#000000"
