Source,Target,Type,Id,Label,Weight,event_id,MMNT-EdgeType,Color
20011,20012,Undirected,3142,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20014,Undirected,3143,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20015,Undirected,3144,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20016,Undirected,3145,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20017,Undirected,3146,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20023,Undirected,3147,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20026,Undirected,3148,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20028,Undirected,3149,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20033,Undirected,3150,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20043,Undirected,3151,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20054,Undirected,3152,workshop-workshop,3,,workshop<--->workshop,"#000000"
20011,20059,Undirected,3153,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20065,Undirected,3154,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20085,Undirected,3155,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20087,Undirected,3156,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20108,Undirected,3157,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20112,Undirected,3158,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20114,Undirected,3159,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20115,Undirected,3160,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20121,Undirected,3161,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20129,Undirected,3162,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20132,Undirected,3163,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20138,Undirected,3164,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20140,Undirected,3165,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20144,Undirected,3166,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20146,Undirected,3167,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20152,Undirected,3168,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20154,Undirected,3169,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20168,Undirected,3170,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20177,Undirected,3171,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20185,Undirected,3172,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20191,Undirected,3173,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20192,Undirected,3174,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20194,Undirected,3175,workshop-workshop,2,,workshop<--->workshop,"#000000"
20011,20210,Undirected,3176,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20216,Undirected,3177,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20222,Undirected,3178,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20224,Undirected,3179,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20228,Undirected,3180,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20232,Undirected,3181,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20234,Undirected,3182,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20241,Undirected,3183,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20245,Undirected,3184,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20249,Undirected,3185,workshop-workshop,1,,workshop<--->workshop,"#000000"
20011,20263,Undirected,3186,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20014,Undirected,3187,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20015,Undirected,3188,workshop-workshop,3,,workshop<--->workshop,"#000000"
20012,20016,Undirected,3189,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20017,Undirected,3190,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20026,Undirected,3191,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20028,Undirected,3192,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20033,Undirected,3193,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20038,Undirected,3194,workshop-workshop,1,,workshop<--->workshop,"#000000"
