Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20011,,The Structure of Thought in Western and Eastern Civilizations: The decline of Science in India as a case Study,workshop,1,0,1,2,-171.459015,139.029907,10,"#73c000"
20012,,Fragmentation and Wholeness,workshop,1,0,1,0,-119.182915,218.55719,10,"#ff8805"
20013,,The Re-Enchantment of the World,workshop,1,0,1,2,-127.705231,186.900467,10,"#73c000"
20014,,"Politics, Economy and Science",workshop,1,0,1,5,-229.623398,231.390213,10,"#00bd94"
20015,,Fragmentation and Wholeness in Science and Society,workshop,1,0,1,0,-107.76313,232.331482,10,"#ff8805"
20016,,The Re-Imagination of the world and the transformation of Science,workshop,2,0,1,2,-160.063354,199.982849,10,"#73c000"
20017,,"Wissenschaft, Religion, Meditation",workshop,1,0,1,2,-30.178442,169.310379,10,"#73c000"
20018,,Visuelle Gestaltung als Erfahrung,workshop,1,0,1,3,202.666885,192.828568,10,"#00c4ff"
20019,,Wie erleben Künstler die Wisenschaftler,workshop,1,0,1,2,66.27494,346.812042,10,"#73c000"
20020,,Halluzinogene und veränderte Zustände des Bewusstseins,workshop,1,0,1,7,64.917496,-67.020332,10,"#ff5584"
20021,,Die Beziehung zwischen Körper und Seele,workshop,1,0,1,7,70.189705,-48.794552,10,"#ff5584"
20022,,Alternative Healing Processes,workshop,1,0,1,7,-1.613024,-4.409441,10,"#ff5584"
20023,,New Realms of Music,workshop,1,0,1,4,30.182055,199.472488,10,"#4c463e"
20024,,Energetic View of Personalityand Behaviour,workshop,1,0,1,1,201.91507,-85.829269,10,"#df89ff"
20025,,Reading the Language of the Body,workshop,1,0,1,1,188.67981,-90.246582,10,"#df89ff"
20026,,Observer and Observed in Science,workshop,1,0,1,2,-211.320648,213.256516,10,"#73c000"
20027,,Homöopathische Medizin Heute,workshop,1,0,1,7,-127.105003,-161.508377,10,"#ff5584"
20028,,Science and Religion,workshop,1,0,1,3,-157.502502,224.959534,10,"#00c4ff"
20029,,Verschiedenen Arten Geistiger Heilweise,workshop,1,0,1,7,76.064163,9.353214,10,"#ff5584"
20030,,Freies Malen im Raum zwischen Rationalität und Utopie,workshop,1,0,1,3,328.553925,224.329529,10,"#00c4ff"
20031,,Myth and Science: Animism and the Narratives of Gaia,workshop,1,0,1,7,-247.275375,207.857224,10,"#ff5584"
20032,,Myth and Modern Science,workshop,1,0,1,5,-258.922577,301.836273,10,"#00bd94"
