Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20011,,The Structure of Thought in Western and Eastern Civilizations: The decline of Science in India as a case Study,workshop,1,0,1,5,29.204721,-144.296158,10,"#00bd94"
20012,,Fragmentation and Wholeness,workshop,1,0,1,5,13.688539,-260.762787,10,"#00bd94"
20013,,The Re-Enchantment of the World,workshop,1,0,1,5,3.319373,-229.553009,10,"#00bd94"
20014,,"Politics, Economy and Science",workshop,1,0,1,5,130.480316,-209.203293,10,"#00bd94"
20015,,Fragmentation and Wholeness in Science and Society,workshop,1,0,1,5,2.958251,-294.070496,10,"#00bd94"
20016,,The Re-Imagination of the world and the transformation of Science,workshop,2,0,1,5,35.289131,-226.556046,10,"#00bd94"
20017,,"Wissenschaft, Religion, Meditation",workshop,1,0,1,5,-112.426559,-241.371506,10,"#00bd94"
20018,,Visuelle Gestaltung als Erfahrung,workshop,1,0,1,2,-333.360199,-358.877167,10,"#73c000"
20019,,Wie erleben Künstler die Wisenschaftler,workshop,1,0,1,3,-132.9207,-469.854523,10,"#00c4ff"
20020,,Halluzinogene und veränderte Zustände des Bewusstseins,workshop,1,0,1,0,-257.72348,-34.554859,10,"#ff8805"
20021,,Die Beziehung zwischen Körper und Seele,workshop,1,0,1,0,-267.346313,-62.525997,10,"#ff8805"
20022,,Alternative Healing Processes,workshop,1,0,1,5,-210.791397,-73.154709,10,"#00bd94"
20023,,New Realms of Music,workshop,1,0,1,3,-158.794678,-267.048584,10,"#00c4ff"
20024,,Energetic View of Personalityand Behaviour,workshop,1,0,1,1,-452.692413,-84.914131,10,"#df89ff"
20025,,Reading the Language of the Body,workshop,1,0,1,1,-441.385468,-52.004314,10,"#df89ff"
20026,,Observer and Observed in Science,workshop,1,0,1,5,91.560081,-210.766815,10,"#00bd94"
20027,,Homöopathische Medizin Heute,workshop,1,0,1,5,-157.940506,137.360184,10,"#00bd94"
20028,,Science and Religion,workshop,1,0,1,5,64.589653,-233.262695,10,"#00bd94"
20029,,Verschiedenen Arten Geistiger Heilweise,workshop,1,0,1,1,-274.806519,-97.539848,10,"#df89ff"
20030,,Freies Malen im Raum zwischen Rationalität und Utopie,workshop,1,0,1,2,-466.77121,-436.219055,10,"#73c000"
20031,,Myth and Science: Animism and the Narratives of Gaia,workshop,1,0,1,4,137.706757,-179.43306,10,"#4c463e"
20032,,Myth and Modern Science,workshop,1,0,1,4,178.882553,-284.176331,10,"#4c463e"
20033,,Science Beyond Foundations,workshop,1,0,1,5,106.725853,-185.120178,10,"#00bd94"
20035,,Textcollage,workshop,1,0,1,2,-479.851593,-275.074066,10,"#73c000"
20036,,Body workshop Gonseth,workshop,1,0,1,1,-450.25412,-157.580658,10,"#df89ff"
20037,,Wholeness and Diversity and the Ecology of mind,workshop,2,0,1,4,-56.214016,-147.28273,10,"#4c463e"
20038,,"Einbezug von ökologischen, technischen und humanistischen Aspekten in die langfristige Planung der Industrie",workshop,2,0,1,4,-49.734287,-267.638275,10,"#4c463e"
20039,,Wissenschaft/Wirtschaft/Ethik,workshop,2,0,1,4,-65.009186,-291.710327,10,"#4c463e"
20040,,Lebendig leben- aber wie?,workshop,2,0,1,1,-486.931793,-106.117722,10,"#df89ff"
20041,,Spannung zwischen Berufs- und Privatleben,workshop,2,0,1,1,-495.582458,-79.314384,10,"#df89ff"
20042,,"Wissenschaft und christliche Kosmologie, ein Gegensatz?",workshop,2,0,1,5,-56.52169,-242.17038,10,"#00bd94"
20043,,Meister Eckhart und die Ueberwindung der Subjekt/Objekt-Spaltung,workshop,2,0,1,5,-197.070358,-207.24765,10,"#00bd94"
20044,,Body workshop Gonseth 2,workshop,2,0,1,1,-438.581696,-20.496239,10,"#df89ff"
20045,,A Neurobiologist's View of the Scientist's Mind,workshop,2,0,1,4,0.8298,-3.578572,10,"#4c463e"
20046,,Wissenschaftliche und ethische Probleme in der Molekularbiologie und Gentechnologie,workshop,2,0,1,4,28.656326,-44.30592,10,"#4c463e"
20047,,Sinnesorgane und Perzeptionsfelder des Menschen,workshop,2,0,1,1,-243.5177,-89.038551,10,"#df89ff"
20048,,Theaterimprovisation,workshop,2,0,1,3,-350.95932,-422.946533,10,"#00c4ff"
20049,,Masken - Gestalten,workshop,2,0,1,2,-407.734283,-352.538666,10,"#73c000"
20050,,Stein-Holz-Eisen,workshop,2,0,1,2,-381.371704,-431.182861,10,"#73c000"
20051,,Musik-Improvisation,workshop,2,0,1,3,-295.062225,-251.934875,10,"#00c4ff"
20052,,Collagen,workshop,2,0,1,2,-419.276764,-481.797791,10,"#73c000"
20053,,Zen-Meditation,workshop,2,0,1,4,-272.696808,-10.473828,10,"#4c463e"
20054,,The Samkhya View of Science,workshop,2,0,1,5,-85.869827,-145.710938,10,"#00bd94"
20055,,Gegensätze und Harmonien in der Modernen Architektur,workshop,2,0,1,2,-477.623291,-17.655609,10,"#73c000"
20056,,The coevolution of global interconnectedness and education,workshop,2,0,1,3,-64.865425,-361.39032,10,"#00c4ff"
20057,,Das Sender/Empfänger Konzept der Wirklichkeit,workshop,2,0,1,5,56.996628,-147.948425,10,"#00bd94"
20058,,Psychologische Grundlagen der Alchemie,workshop,2,0,1,5,-178.511093,-175.704529,10,"#00bd94"
20059,,Glauben in Wissenschaft und Religion,workshop,2,0,1,5,-82.069054,-188.004227,10,"#00bd94"
20060,,Die Gegensätze Erotik/Religion und Frau/Spiritualität,workshop,2,0,1,4,-13.902702,-322.329773,10,"#4c463e"
20061,,Astronomische Forschung und ihre Entwicklung,workshop,2,0,1,4,-9.940107,28.85483,10,"#4c463e"
20062,,Kunst und Erziehung - Erfahrungen im Bereich des Malens,workshop,2,0,1,2,-301.620148,-388.811035,10,"#73c000"
20063,,Gemeinsame Wandmalerei,workshop,2,0,1,2,-431.787415,-449.083344,10,"#73c000"
20064,,Gedächtnis und Antizipation,workshop,3,0,1,4,46.189766,23.170887,10,"#4c463e"
