Id,Label,name,gender,birth_date,attribute,at_cortona,cortona,[z],modularity_class,X,Y,Size,Color
1,,Pier Luigi Luisi,m,1938,person,yes,no,2,0,-75.6492,-29.388456,10,"#72adff"
2,,Jörg Altherr-Flury,m,1944,person,yes,no,2,1,-443.463837,1163.114868,10,"#c0c0c0"
3,,Thea Altherr-Flury,w,1941,person,yes,no,2,18,471.378876,-30.37631,10,"#fab1b7"
4,,Shams Anwari-Alhossenyni,m,1937,person,yes,no,2,2,737.881104,-991.185852,10,"#c0c0c0"
5,,Iso Camartin,m,1944,person,yes,no,2,106,107.332008,-162.000366,10,"#ff7cff"
6,,Fritjof Capra,m,1939,person,yes,no,2,137,-75.560486,131.44841,10,"#37d911"
7,,Thornton E. Chamberlin,m,1949,person,yes,no,2,3,1225.991699,215.263779,10,"#c0c0c0"
8,,Richard Robert Ernst,m,1933,person,yes,no,2,61,117.036415,32.275185,10,"#ff7f1a"
9,,Jörg Felsche,,,person,yes,no,2,4,810.28949,1058.009521,10,"#c0c0c0"
10,,Gerd Folkers,,,person,yes,no,2,5,1257.397095,29.90399,10,"#c0c0c0"
11,,Pieter Arend Folken,,,person,yes,no,2,6,1189.580811,-93.030365,10,"#c0c0c0"
12,,Gerd Fuchs,,,person,yes,no,2,7,804.959656,1009.102966,10,"#c0c0c0"
13,,Kathrin Graf,w,1942,person,yes,no,2,8,-645.776367,-1098.004761,10,"#c0c0c0"
14,,George Greenstein,,,person,yes,no,2,9,483.891724,-1043.762695,10,"#c0c0c0"
15,,Ricardo Guerrero,,,person,yes,no,2,10,-43.952881,-1193.759033,10,"#c0c0c0"
16,,Willi Gutmann,m,1927,person,yes,no,2,57,14.105197,-204.630432,10,"#c0c0c0"
17,,Urs Hartmann,,,person,yes,no,2,11,-1107.458252,-11.92268,10,"#c0c0c0"
18,,Doris Lässer-Aeppli,w,1945,person,yes,no,2,12,1074.325073,973.559692,10,"#c0c0c0"
19,,Claudia Scheidegger,w,1950,person,yes,no,2,18,491.416016,-47.597534,10,"#fab1b7"
20,,Tony Majdalani,m,,person,yes,no,2,13,-1212.209717,-52.224525,10,"#c0c0c0"
21,,Lynn Margulis,w,1938,person,yes,no,2,88,-223.935822,81.358688,10,"#00d8ff"
22,,Monika Matta,w,,person,yes,no,2,106,177.071457,-186.629379,10,"#ff7cff"
23,,Regina Mikula,,,person,yes,no,2,14,-1117.867188,-269.649353,10,"#c0c0c0"
24,,Suzanne Monard,w,1934,person,yes,no,2,57,-1.109132,-224.710983,10,"#c0c0c0"
25,,Roberto A. A. Boschi,m,1941,person,yes,no,2,118,-35.679283,-172.83667,10,"#006c7e"
26,,Doris Oltrogge,,,person,yes,no,2,15,1009.716858,-581.016968,10,"#c0c0c0"
27,,Jörg Rasche,m,1950,person,yes,no,2,18,209.437439,-4.498164,10,"#fab1b7"
28,,Irene Reintjens,,,person,yes,no,2,16,-306.785522,-1032.305176,10,"#c0c0c0"
29,,Hortense Reintjens-Anwari,,,person,yes,no,2,17,-1030.098511,-234.669754,10,"#c0c0c0"
30,,Ingrid Riedel,w,1935,person,yes,no,2,18,263.681244,26.472614,10,"#fab1b7"
31,,Paul Seiler,,,person,yes,no,2,19,-664.430542,903.108582,10,"#c0c0c0"
32,,Renuka Singh,,,person,yes,no,2,20,-663.923523,964.592773,10,"#c0c0c0"
33,,David Bohm,m,1917,person,yes,no,2,137,-57.083134,62.786434,10,"#37d911"
34,,David Steindl-Rast,m,1926,person,yes,no,2,33,-47.456982,165.241745,10,"#c5ae00"
35,,Michael Stillwater,,,person,yes,no,2,21,-972.039307,-444.862823,10,"#c0c0c0"
36,,KatjaTchemberdji,,,person,yes,no,2,22,-384.539093,1169.081299,10,"#c0c0c0"
37,,Weiming Tu,,,person,yes,no,2,23,-1032.434692,-503.260162,10,"#c0c0c0"
38,,Katharina von Salis,,,person,yes,no,2,24,1028.684692,502.819702,10,"#c0c0c0"
39,,Cornelia Walterspiel,w,,person,yes,no,2,25,-737.089661,-1021.637146,10,"#c0c0c0"
40,,f,,,person,yes,no,2,26,-793.637695,-659.755127,10,"#c0c0c0"
41,,Reinhard Nesper,,,person,yes,no,2,18,569.175415,-55.532944,10,"#fab1b7"
42,,Marlen Karlen,,,person,yes,no,2,27,-708.483582,-923.246399,10,"#c0c0c0"
43,,Luciano Pietronero,,,person,yes,no,2,28,-1057.89209,-607.288696,10,"#c0c0c0"
44,,Rupert Sheldrake,,,person,yes,no,2,137,-95.145515,110.36142,10,"#37d911"
45,,Ernst Peter Fischer,,,person,yes,no,2,29,-988.1604,550.621582,10,"#c0c0c0"
46,,Christina Puchalski,,,person,yes,no,2,30,-1091.970093,575.788635,10,"#c0c0c0"
47,,Joan Halifax,w,1942,person,yes,no,2,88,-170.214859,101.760216,10,"#00d8ff"
48,,Michael Hagner,,,person,yes,no,2,31,-238.895691,-1113.962891,10,"#c0c0c0"
49,,Hans-Peter Sibler,,,person,yes,no,2,32,719.398438,-1032.453979,10,"#c0c0c0"
50,,John Wolf Brennan,m,1954,person,yes,no,2,57,-22.322159,-313.094421,10,"#c0c0c0"
51,,Vanja Palmers,m,1948,person,yes,no,2,33,11.294171,160.856003,10,"#c5ae00"
52,,Barbara Jäckli,,,person,yes,no,2,34,779.673157,896.360474,10,"#c0c0c0"
53,,Andreas Schneider,,,person,yes,no,2,35,826.566406,-937.965759,10,"#c0c0c0"
54,,Regula Vollenweider Wepfer,,,person,yes,no,2,36,-788.593567,-828.35437,10,"#c0c0c0"
55,,Avshalom Elitzur,,,person,yes,no,2,37,387.435333,-1036.672363,10,"#c0c0c0"
56,,Beate Kortendieck-Rasche,,,person,yes,no,2,38,-73.870232,1042.28125,10,"#c0c0c0"
57,,Marie Millis,,,person,yes,no,2,39,1096.179688,-205.135132,10,"#c0c0c0"
58,,HeidiMaria Stauber,w,1949,person,yes,no,2,18,546.002808,-52.442123,10,"#fab1b7"
59,,Eveline Hauser,,,person,yes,no,2,40,1129.209595,506.884399,10,"#c0c0c0"
60,,Horta van Hoye,,,person,yes,no,2,41,167.226974,-1194.880737,10,"#c0c0c0"
61,,Chaturvedi Badrinath,m,1933,person,yes,no,2,42,-1257.943359,818.455627,10,"#c0c0c0"
62,,Helmut Milz,,,person,yes,no,2,43,378.984131,1156.743408,10,"#c0c0c0"
63,,Monica Zuretti,,,person,yes,no,2,44,-523.431335,1048.381348,10,"#c0c0c0"
64,,Fredi Rauner,,,person,yes,no,2,45,-1093.769531,237.260117,10,"#c0c0c0"
65,,Franziska Dürr,,,person,yes,no,2,46,-624.749329,1076.787964,10,"#c0c0c0"
66,,Kurt Reinhard,,,person,yes,no,2,47,855.940552,711.37439,10,"#c0c0c0"
67,,Michel Bitbol,,,person,yes,no,2,48,444.838409,1055.321045,10,"#c0c0c0"
68,,Annie Bitbol-Hespériès,,,person,yes,no,2,49,1225.707764,131.94223,10,"#c0c0c0"
69,,Richi Diener,,,person,yes,no,2,50,1156.677368,-208.178787,10,"#c0c0c0"
70,,Daniel Fueter,,,person,yes,no,2,51,-854.181946,-650.28064,10,"#c0c0c0"
71,,Thomas Müllenbach,,,person,yes,no,2,52,870.98761,-995.468689,10,"#c0c0c0"
72,,Herbert Pietschmann,m,1936,person,yes,no,2,61,138.646942,22.219154,10,"#ff7f1a"
73,,Naomi Steinberg,,,person,yes,no,2,53,-655.488159,-854.566956,10,"#c0c0c0"
74,,Hazel Henderson,w,1933,person,yes,no,2,88,-180.570221,235.051559,10,"#00d8ff"
75,,Tom Johanson,m,1925,person,yes,no,2,33,-24.019842,245.657715,10,"#c5ae00"
76,,Alexander Lowen,m,1910,person,yes,no,2,137,-14.431384,119.231613,10,"#37d911"
77,,Giancarlo Testa,m,1932,person,yes,no,2,18,381.72876,-33.40361,10,"#fab1b7"
78,,Francisco Varela,m,1946,person,yes,no,2,88,-190.352493,66.596024,10,"#00d8ff"
79,,Morris Berman,m,1944,person,yes,no,2,137,-267.36615,52.2803,10,"#37d911"
80,,Kurt Dressler,m,1929,person,yes,no,2,61,46.424419,-31.295982,10,"#ff7f1a"
