;pk_participation;pk_event;fk_person;country;institute;occupation;subject
0;1;1986;135.0;;;not available;
1;2;1986;688.0;;;not available;
2;3;1986;445.0;;;not available;
3;4;1986;236.0;;;not available;
4;5;1986;147.0;;;not available;
5;6;1986;421.0;;;not available;
6;7;1986;643.0;;;not available;
7;8;1986;586.0;;;not available;
8;9;1986;215.0;;;not available;
9;10;1986;372.0;;;not available;
10;11;1986;140.0;;;not available;
11;12;1986;543.0;;;not available;
12;13;1986;698.0;;;not available;
13;14;1986;114.0;;;not available;
14;15;1986;234.0;;;not available;
15;16;1986;112.0;;;not available;
16;17;1986;160.0;;;not available;
17;18;1986;579.0;;;not available;
18;19;1986;146.0;;;not available;
19;20;1986;427.0;;;not available;
20;21;1986;276.0;;;not available;
21;22;1986;256.0;;;not available;
22;23;1986;108.0;;;not available;
23;24;1986;792.0;;;not available;
24;25;1986;189.0;;;not available;
25;26;1986;662.0;;;not available;
26;27;1986;23.0;;;not available;
27;28;1986;291.0;;;not available;
28;29;1986;481.0;;;not available;
29;30;1986;446.0;;;not available;
30;31;1986;155.0;;;not available;
31;32;1986;685.0;;;not available;
32;33;1986;795.0;;;not available;
33;34;1986;131.0;;;not available;
34;35;1986;398.0;;;not available;
35;36;1986;476.0;;;not available;
36;37;1986;636.0;;;not available;
37;38;1986;433.0;;;not available;
38;39;1986;503.0;;;not available;
39;40;1986;165.0;;;not available;
40;41;1986;8.0;;;not available;
41;42;1986;59.0;;;not available;
42;43;1986;190.0;;;not available;
43;44;1986;199.0;;;not available;
44;45;1986;65.0;;;not available;
45;46;1986;28.0;;;not available;
46;47;1986;105.0;;;not available;
47;48;1986;257.0;;;not available;
48;49;1986;617.0;;;not available;
49;50;1986;506.0;;;not available;
50;51;1986;684.0;;;not available;
51;52;1986;297.0;;;not available;
52;53;1986;607.0;;;not available;
53;54;1986;788.0;;;not available;
54;55;1986;740.0;;;not available;
55;56;1986;72.0;;;not available;
56;57;1986;401.0;;;not available;
57;58;1986;718.0;;;not available;
58;59;1986;376.0;;;not available;
59;60;1986;491.0;;;not available;
60;61;1986;583.0;;;not available;
61;62;1986;699.0;;;not available;
62;63;1986;756.0;;;not available;
63;64;1986;777.0;;;not available;
64;65;1986;478.0;;;not available;
65;66;1986;789.0;;;not available;
66;67;1986;214.0;;;not available;
67;68;1986;294.0;;;not available;
68;69;1986;614.0;;;not available;
69;70;1986;302.0;;;not available;
70;71;1986;436.0;;;not available;
71;72;1986;649.0;;;not available;
72;73;1986;243.0;;;not available;
73;74;1986;782.0;;;not available;
74;75;1986;221.0;;;not available;
75;76;1986;245.0;;;not available;
76;77;1986;517.0;;;not available;
77;78;1986;178.0;;;not available;
78;79;1986;566.0;;;not available;
79;80;1986;151.0;;;not available;
80;81;1986;281.0;;;not available;
81;82;1986;630.0;;;not available;
82;83;1986;510.0;;;not available;
83;84;1986;122.0;;;not available;
84;85;1986;772.0;;;not available;
85;86;1986;745.0;;;not available;
86;87;1986;746.0;;;not available;
87;88;1986;213.0;;;not available;
88;89;1986;222.0;;;not available;
89;90;1986;241.0;;;not available;
90;91;1986;511.0;;;not available;
91;92;1986;196.0;;;not available;
92;93;1986;519.0;;;not available;
93;94;1986;358.0;;;not available;
94;95;1986;382.0;;;not available;
95;96;1986;87.0;;;not available;
96;97;1986;763.0;;;not available;
97;98;1986;280.0;;;not available;
98;99;1986;125.0;;;not available;
99;100;1986;784.0;;;not available;
100;101;1986;235.0;;;not available;
101;102;1986;392.0;;;not available;
102;103;1986;198.0;;;not available;
103;104;1986;37.0;;;not available;
104;105;1986;244.0;;;not available;
105;106;1986;430.0;;;not available;
106;107;1986;230.0;;;not available;
107;108;1986;600.0;;;not available;
108;109;1986;166.0;;;not available;
109;110;1986;303.0;;;not available;
110;111;1986;535.0;;;not available;
111;112;1986;10.0;;;not available;
112;113;1986;96.0;;;not available;
113;114;1986;231.0;;;not available;
