pk_person,meta_category_organization_Firma,meta_category_organization_Medizin,meta_category_organization_Publikation,meta_category_organization_Universität,meta_category_organization_Wissenschaftliche Vereinigung,meta_category_organization_alternative Forschungsinstut,meta_category_organization_gegenkulturelle Gemeinschaft,meta_category_organization_künstlerischer Ort,meta_category_organization_politische Vereinigung,meta_category_organization_psychologisches Institut,meta_category_organization_spirituelle Vereinigung,meta_category_occupation_Intellectuals,meta_category_occupation_Künstler:in,meta_category_occupation_Leiter:in,meta_category_occupation_Management,meta_category_occupation_Mitarbeiter:in,meta_category_occupation_Mitglied,meta_category_occupation_Public official,meta_category_occupation_Universitätsposten,meta_category_occupation_redaktioneller Beruf,meta_category_occupation_spiritueller Leiter:in,country_pursuit_Australien,country_pursuit_Chile,country_pursuit_Deutschland,country_pursuit_Frankreich,country_pursuit_Indien,country_pursuit_Iran,country_pursuit_Israel,country_pursuit_Italien,country_pursuit_Japan,country_pursuit_Kanada,country_pursuit_Schweden,country_pursuit_Schweiz,country_pursuit_Slowenien,country_pursuit_UK,country_pursuit_USA,country_pursuit_Ungarn,country_pursuit_Österreich,study_meta_category_Geisteswissenschaften,study_meta_category_Kunst,study_meta_category_Medizin,study_meta_category_Naturwissenschaften,study_meta_category_Psychotherapie,study_meta_category_Spiritualität,study_meta_category_Wirtschaft,organization_metacategory_Universität,organization_metacategory_alternative Forschungsinstut,organization_metacategory_künstlerischer Ort,organization_metacategory_psychologisches Institut,organization_metacategory_spirituelle Vereinigung,country_study_Deutschland,country_study_Frankreich,country_study_Israel,country_study_Italien,country_study_Japan,country_study_Schweden,country_study_Schweiz,country_study_UK,country_study_USA,country_study_Österreich,gender_m,gender_w,nationality_Chile,nationality_Deutschland,nationality_Frankreich,nationality_Indien,nationality_Irland,nationality_Israel,nationality_Italien,nationality_Japan,nationality_Kuba,nationality_Luxemburg,nationality_Marokko,nationality_Palästina,nationality_Schweden,nationality_Schweiz,nationality_Slowenien,nationality_Tibet,nationality_Türkei,nationality_UK,nationality_USA,nationality_Österreich
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
