source,target,target_name
61,49,Indian Administrative Service
61,11,Auroville
79,13,"Department of History, University of Victoria"
33,15,Birbeck College
80,1,ETH Zürich
80,1,ETH Zürich
80,50,"Komission für interdiziplinäre Veranstaltungen, ETH Zürich"
74,18,Lindisfarne Fellows
74,19,World Future Society
74,51,Costeau Society
74,52,Futures Research Quarterly
74,53,U.S. Congres office of Technology Assessment
74,54,National Academy of Engineering
74,55,National Science Foundation
81,18,Lindisfarne Fellows
82,21,Sandoz
75,22,Spiritualist Association Of Great Britain
76,57,International Institute for Bioenergetic Analysis
84,1,ETH Zürich
84,26,Departement Umweltnaturwissenschaften der ETH Zürich
51,27,Tassajara Zen Mountain Center 
51,58,Buddhists concerned for Animals
34,25,Kloster Mount Saviour
34,18,Lindisfarne Fellows
87,18,Lindisfarne Fellows
87,29,MIT
78,34,University of Chile
78,32,Max Planck Institute for Brain Research
78,33,Centre national de la recherche scientifique (CNRS)
78,1,ETH Zürich
78,35,Mind and Life Institute
98,60,Kabir Universität
98,36,Amherst College
98,18,Lindisfarne Fellows
25,10,Ciba-Geigy AG
99,39,Jesuitenorden
99,40,Universität St. Gallen
99,40,Universität St. Gallen
101,43,Pontifical Council for Interreligious Dialogue
101,44,Athenaeum Anselmianum
101,44,Athenaeum Anselmianum
101,45,Esalen Institut
94,1,ETH Zürich
94,46,Schweizerische Akademie der Geistes- und Sozialwissenschaften
103,7,Universität Zürich
103,7,Universität Zürich
16,1,ETH Zürich
111,47,diehasena
95,48,AGU (Arbeitsgemeinschaft Umwelt)
95,1,ETH Zürich
1,1,ETH Zürich
1,1,ETH Zürich
1,2,Universität Rom III
118,62,Das Forschungs- und Ausbildungszentrum für Tiefenpsychologie nach C.G. Jung und M.-L. von Franz 
121,63,Evangelischen Studienzentrum Boldern
122,1,ETH Zürich
122,65,"Institut für Astronomie, ETH Zürich"
139,1,ETH Zürich
72,66,Institut für theoretische Physik der Universität Wien
140,67,Albert-Ludwigs-Universität Freiburg
141,69,F. Hoffmann-La-Roche & Co. Ag
141,70,Givaudan Forschungsgesellschaft
141,69,F. Hoffmann-La-Roche & Co. Ag
143,7,Universität Zürich
143,72,Tagesklinik für Kinder- und Jugendpsychiatrie
146,73,Interspecies Communication
127,74,Schweizerisches Zentrum für Computermusik (SZCM)
145,74,Schweizerisches Zentrum für Computermusik (SZCM)
130,75,Tibet-Institut Rikon
133,34,University of Chile
133,29,MIT
133,31,Harvard University
133,76,University of Colorado
166,77,The Times
157,40,Universität St. Gallen
157,78,Neue Analysen für Wirtschaft und Umwelt (NAWU)
162,79,"Institut für Kristallographie und Petrographie, ETHZ"
155,80,Interdisziplinäre Vorlesungreihe der Universität Zürich
159,82,Umweltzentrum für Ökologicshe Strukturforschung Schloss Türnich
165,17,Universität Basel
165,38,Universität Fribourg
165,83,Dianus-Trikont-Verlag
151,84,"Department of Pathology, University of New South Wales"
153,87,"Geographisches Institut, ETHZ"
153,78,Neue Analysen für Wirtschaft und Umwelt (NAWU)
156,88,Wissenschaft-Departement der Europäischnen Weltraum-Organisation (ESA)
149,89,Hida Global Institute of Human Art
135,91,Weizmann-Institut
147,34,University of Chile
27,94,Kinder- und Jugendpschiatrischen Beratungstelle
77,4,IAP (Institut für Angewandte Psychologie)
77,68,C. G. Jung Institut
164,96,Forschungsstelle für Ökopychologie der frühen Kindheit
132,98,Shogen-dojo
167,99,Balaton Group
167,100,Eawag
167,78,Neue Analysen für Wirtschaft und Umwelt (NAWU)
171,101,Mitsubishi Research Institute
34,41,New Camaldoli Hermitage
178,27,Tassajara Zen Mountain Center 
178,103,San Francisco Zen Center
178,104,Green Gulch Zen Practice Community and Farm
178,105,Dharma Sangha Western Zen Center
178,106,Santa Fe Zen Center
178,107,Colorado Zen Mountain Retreat
181,108,Max-Planck-Institut für Phyik
181,108,Max-Planck-Institut für Phyik
181,108,Max-Planck-Institut für Phyik
