source,target,event_id
20020,15001,1
20020,15002,1
20021,15001,1
20021,15002,1
20027,15003,1
20027,15004,1
20033,15005,1
20033,15006,1
20033,15007,1
20033,15008,1
20036,15009,1
20036,15010,1
20036,15011,1
20036,15012,1
20100,15013,1
20100,15014,1
20101,15013,1
20101,15015,1
20102,15013,1
20102,15015,1
20102,15016,1
20011,15017,1
20011,15018,1
20011,15019,1
20011,15085,1
20012,15021,1
20012,15022,1
20012,15085,1
20013,15020,1
20014,15085,1
20014,15029,1
20014,15030,1
20015,15021,1
20015,15022,1
20015,15085,1
20017,15085,1
20017,15024,1
20017,15025,1
20017,15026,1
20017,15027,1
20017,15028,1
20018,15031,1
20018,15028,1
20019,15042,1
20022,15032,1
20022,15033,1
20022,15046,1
20023,15028,1
20023,15034,1
20023,15017,1
20024,15036,1
20024,15035,1
20024,15043,1
20024,15013,1
20025,15013,1
20025,15035,1
20025,15036,1
20025,15043,1
20026,15085,1
20026,15037,1
20028,15085,1
20028,15024,1
20028,15026,1
20029,15033,1
20029,15032,1
20029,15043,1
20029,15041,1
20029,15028,1
20030,15031,1
20031,15044,1
20031,15045,1
20031,15047,1
20032,15044,1
20033,15085,1
20035,15031,1
20035,15043,1
20037,15048,2
20037,15049,2
20037,15050,2
20038,15051,2
20038,15052,2
20038,15053,2
20038,15054,2
20038,15055,2
20038,15022,2
20039,15051,2
20039,15052,2
20039,15054,2
20039,15055,2
20039,15022,2
20040,15043,2
20041,15043,2
20042,15046,2
20042,15026,2
20043,15010,2
20043,15037,2
20043,15046,2
20043,15017,2
20043,15028,2
20043,15055,2
20043,15025,2
20043,15014,2
20044,15011,2
20044,15010,2
20044,15009,2
20044,15013,2
20036,15013,1
20103,15013,2
20103,15014,2
20103,15022,2
20103,15043,2
20104,15013,2
20104,15015,2
20104,15036,2
20104,15043,2
20101,15043,1
20101,15036,1
20105,15016,2
20105,15041,2
20105,15013,2
20105,15035,2
20105,15015,2
20102,15041,1
20102,15035,1
20045,15023,2
20045,15048,2
20046,15056,2
20046,15051,2
20046,15023,2
20047,15057,2
20047,15028,2
20047,15058,2
20047,15013,2
20048,15059,2
20048,15060,2
20049,15014,2
20049,15059,2
20049,15031,2
20049,15061,2
20048,15061,2
20048,15062,2
20050,15063,2
20050,15064,2
20050,15031,2
20051,15065,2
20051,15060,2
20051,15034,2
20051,15013,2
20051,15014,2
20051,15028,2
20052,15066,2
20052,15031,2
20053,15025,2
20053,15039,2
20053,15041,2
20106,15067,2
20106,15068,2
20106,15062,2
20106,15069,2
20054,15085,2
20054,15019,2
20054,15017,2
20054,15015,2
20054,15022,2
20054,15070,2
20055,15071,2
20055,15072,2
20055,15073,2
20056,15076,2
20056,15075,2
20056,15074,2
20057,15070,2
20057,15077,2
20057,15055,2
20057,15078,2
20058,15080,2
20058,15028,2
20058,15079,2
20058,15020,2
20058,15015,2
20059,15085,2
20059,15024,2
20059,15028,2
20059,15027,2
20059,15081,2
20059,15017,2
20060,15024,2
20060,15082,2
20060,15083,2
20060,15026,2
20060,15038,2
20061,15023,2
20061,15084,2
20062,15076,2
20062,15031,2
20062,15028,2
20016,15020,2
20016,15085,2
20063,15031,2
20063,15064,2
20064,15023,3
20064,15086,3
20064,15087,3
20064,15088,3
20065,15085,3
20065,15078,3
20065,15077,3
20065,15070,3
20065,15037,3
20065,15089,3
20066,15090,3
20066,15089,3
20066,15091,3
20066,15092,3
20066,15005,3
20066,15014,3
20066,15020,3
20067,15039,3
20067,15057,3
20067,15041,3
20068,15023,3
20068,15057,3
20068,15026,3
20069,15093,3
20069,15078,3
20069,15077,3
20070,15057,3
20070,15094,3
20070,15095,3
