pk_participation,pk_event,fk_person,name,talk,subject,country,institute,occupation
1,1986,,Christof Appenzeller,,,,,
2,1986,,Silvan Aschwanden,,,,,
3,1986,,M. C. Bateson,1,,,,
4,1986,,Ezio Battistel,,,,,
5,1986,,Claudia Betschart,,,,,
6,1986,,Klaus Biru,,,,,
7,1986,,Roberto A. A. Boschi,1,,,,
8,1986,,Peter Binz,1,,,,
9,1986,,Elisabeth Blum,1,,,,
10,1986,,John Wolf Brennan,1,,,,
11,1986,,Christoph Bruder,,,,,
12,1986,,Monika Brun,,,,,
13,1986,,St. P. Bumbacher,1,,,,
14,1986,,Charlotte Burckhardt,,,,,
15,1986,,Eva-Marie Conod,,,,,
16,1986,,Cécily Corti,,,,,
17,1986,,Corina Curschellas,1,,,,
18,1986,,Paul Discoe,,,,,
19,1986,,Chritiane Drees,,,,,
20,1986,,Kurt Dressler,1,,,,
21,1986,,Georges Enderle,1,,,,
22,1986,,Frau Enderle,,,,,
23,1986,,Carl Eugster,1,,,,
24,1986,,Werner Fluhr,,,,,
25,1986,,Detlef Fölsch,1,,,,
26,1986,,Ruth Frei,1,,,,
27,1986,,Andreas Gigon,,,,,
28,1986,,Gunna Goerges,1,,,,
29,1986,,Marie-Luce Gonseth,1,,,,
30,1986,,Madeleine Gränacher,,,,,
31,1986,,Claudius Gros,1,,,,
32,1986,,Sibil Grosjean,,,,,
33,1986,,Willi Gutmann,1,,,,
34,1986,,Christina Haller,,,,,
35,1986,,K. H. Hammerle,,,,,
36,1986,,Marianne Heide,,,,,
37,1986,,Richard Heimgartner,,,,,
38,1986,,Liliana Heldner,,,,,
39,1986,,Martin Henglein,1,,,,
40,1986,,Cornelia Hesse-Honegger,1,,,,
41,1986,,Albert Hofmann,1,,,,
42,1986,,August E. Hohler,1,,,,
43,1986,,Diana Hornung,,,,,
44,1986,,Doris Hug,1,,,,
45,1986,,Barbara Jäckli,,,,,
46,1986,,Andreas Keller,,,,,
47,1986,,Bruno Knobel,1,,,,
48,1986,,Frau Knobel,,,,,
49,1986,,Rainer Kündig,1,,,,
50,1986,,Martin Leser,,,,,
51,1986,,Shneior Lifson,1,,,,
52,1986,,Hanna Lifson,,,,,
53,1986,,Pier Luigi Luisi,,,,,
54,1986,,Walter Mahler,1,,,,
55,1986,,Thomas Matus,1,,,,
56,1986,,Beat Meier,,,,,
57,1986,,Karin Meyer,,,,,
58,1986,,Suzanne Monard,1,,,,
59,1986,,Jörg Müller,1,,,,
60,1986,,Markus Müller,,,,,
61,1986,,Paul Müller,,,,,
62,1986,,Stefan Müller,,,,,
63,1986,,Ulrich Müller-Herold,,,,,
64,1986,,Vanja Palmers,1,,,,
65,1986,,Marianne Parmiggiani,1,,,,
66,1986,,Walter Petter,,,,,
67,1986,,Eliabeth Portmann,,,,,
68,1986,,Guy Poupart,1,,,,
69,1986,,Qiaoqian Peng,,,,,
70,1986,,Hans Primas,,,,,
71,1986,,Lizelle Reymond,1,,,,
72,1986,,Roland Ris,1,,,,
73,1986,,Francesco Riva,,,,,
74,1986,,Viola Rohner,,,,,
75,1986,,Ernest Rosenberg,1,,,,
76,1986,,Franco Rossi,,,,,
77,1986,,Mathias Rotach,,,,,
78,1986,,Daniel Rüetschi,,,,,
79,1986,,Otto Schärli,1,,,,
80,1986,,Claudia Scheidegger,1,,,,
81,1986,,Gina Schibler,1,,,,
82,1986,,Renata Schlüssel,1,,,,
83,1986,,Martin Schmid,,,,,
84,1986,,Christian Schönenberger,,,,,
85,1986,,Urszula Schönhausen,,,,,
86,1986,,Thomas Schulte-Herbrüggen,,,,,
87,1986,,Thomas Schumann,1,,,,
88,1986,,Eli Segal,,,,,
89,1986,,Ernesto Semadeni,,,,,
90,1986,,France Sevesk,,,,,
91,1986,,Martin Spieler,,,,,
92,1986,,Dieter Steiner,,,,,
93,1986,,Matthew Steiner,,,,,
94,1986,,Jan Olof Stenflo,1,,,,
95,1986,,Joyce Stenflo,,,,,
96,1986,,Bernhard Strecker,1,,,,
97,1986,,Urs Stuber,,,,,
98,1986,,Giancarlo Testa,1,,,,
99,1986,,Christian Thomas,1,,,,
100,1986,,William Irwin Thompson,1,,,,
101,1986,,Evan Thompson,,,,,
102,1986,,Jürg Trüb,,,,,
103,1986,,Dominique Tschudin,,,,,
104,1986,,Anita Utelli,,,,,
105,1986,,Francisco Varela,1,,,,
106,1986,,Leonor Palma-Varela,1,,,,
107,1986,,Eva Vykoukal,,,,,
108,1986,,Peter Walde,,,,,
109,1986,,Cornelia Walterspiel,1,,,,
110,1986,,Hans Weber,1,,,,
111,1986,,Michael Wegener,,,,,
112,1986,,Albrecht Weisenhorn,,,,,
113,1986,,Branco Weiss,,,,,
114,1986,,Eva Wertenschlag,1,,,,
115,1986,,Georg Wiebecke,,,,,
116,1986,,Heinz Wittwer,,,,,
117,1986,,Leo Zängerle,,,,,
118,1986,,Pius Zängerle,,,,,
119,1986,,R. Widmann,,,,,
120,1986,,Barbara Zehnder,,,,,
121,1986,,Ursula Zehnder,,,,,
122,1986,,Karel Zeman,,,,,
123,1986,,Urzula Zwahlen,1,,,,
124,1986,,Frédéric Zweig,,,,,
125,1986,,Heini Ringger,,,,,
