Id,name,gender,attribute,modularity_class,X,Y,Size,Color
1,P. L. Luisi,m,person,11,758.969238,-547.039062,30,"#00c4ff"
3,T. Altherr-Flury,w,person,6,1951.952148,-271.215881,30,"#ff8805"
5,I. Camartin,m,person,58,578.084045,295.49826,30,"#4c463e"
6,F. Capra,m,person,4,1740.427368,-1527.690674,30,"#df89ff"
7,T. E. Chamberlin,m,person,0,-299.093781,-488.2258,30,"#c0c0c0"
13,K. Graf,w,person,58,725.865662,516.471436,30,"#4c463e"
16,W. Gutmann,m,person,60,435.595032,-661.297241,30,"#c0c0c0"
18,D. Lässer-Aeppli,w,person,1,-324.396149,299.697296,30,"#c0c0c0"
19,C. Scheidegger,w,person,6,1789.070068,-282.892395,30,"#ff8805"
20,T. Majdalani,m,person,2,-311.185059,-120.247314,30,"#c0c0c0"
21,L. Margulis,w,person,11,296.756653,-1424.55481,30,"#00c4ff"
22,M. Matta,w,person,58,564.299377,486.178223,30,"#4c463e"
24,S. Monard,w,person,60,475.318298,-752.12915,30,"#c0c0c0"
25,R. A. A. Boschi,m,person,73,100.410324,-517.022949,30,"#ff5584"
27,J. Rasche,m,person,79,1634.188721,-460.190308,30,"#73c000"
30,I. Riedel,w,person,6,2102.632568,-483.440094,30,"#ff8805"
33,D. Bohm,m,person,4,1761.169067,-1656.465332,30,"#df89ff"
34,D. Steindl-Rast,m,person,4,1030.295166,-1730.078857,30,"#df89ff"
39,C. Walterspiel,w,person,3,-424.401611,-847.891968,30,"#c0c0c0"
44,R. Sheldrake,m,person,4,1955.950562,-1531.781128,30,"#df89ff"
47,J. Halifax,w,person,11,276.65979,-1696.049683,30,"#00c4ff"
50,J. W. Brennan,m,person,60,344.074615,-784.718506,30,"#c0c0c0"
51,V. Palmers,m,person,4,1000.546814,-1567.200317,30,"#df89ff"
52,B. Jäckli,w,person,5,-324.269501,359.512817,30,"#c0c0c0"
56,B. Kortendieck-Rasche,w,person,79,1621.42627,-399.869049,30,"#73c000"
58,H. Stauber,w,person,6,1788.36438,-160.625397,30,"#ff8805"
61,C. Badrinath,m,person,7,-444.345306,-59.17321,30,"#c0c0c0"
72,H. Pietschmann,m,person,79,1195.265991,21.157272,30,"#73c000"
74,H. Henderson,w,person,11,447.027161,-1655.900391,30,"#00c4ff"
75,T. Johanson,m,person,4,1487.274048,-1794.132935,30,"#df89ff"
76,A. Lowen,m,person,4,1770.496704,-1333.252563,30,"#df89ff"
77,G. Testa,m,person,6,1695.452759,-367.033844,30,"#ff8805"
78,F. Varela,m,person,11,-174.890488,-1560.447144,30,"#00c4ff"
79,M. Berman,m,person,8,1100.69165,-1131.330444,30,"#c0c0c0"
80,K. Dressler,m,person,79,842.164429,-316.455017,30,"#73c000"
81,C. Hesse-Honegger,w,person,11,-9.875275,-1620.463867,30,"#00c4ff"
82,A. Hofmann,m,person,4,1575.719971,-1484.661865,30,"#df89ff"
83,R. Laneri,m,person,9,1064.036499,-893.312805,30,"#c0c0c0"
84,U. Müller-Herold,m,person,79,1235.017944,-399.200439,30,"#73c000"
85,G. Resch,m,person,78,1165.050781,202.491852,30,"#d3b3b0"
86,Isabella Stieger,w,person,10,-427.555237,-663.309082,30,"#c0c0c0"
87,W. I. Thompson,m,person,11,146.72644,-1749.868164,30,"#00c4ff"
88,C. Curschellas,w,person,12,-452.082947,184.003143,30,"#c0c0c0"
89,L. Fischer-Knuth,w,person,13,-320.802124,121.717789,30,"#c0c0c0"
90,P. Gutmann,m,person,60,339.810364,-695.23938,30,"#c0c0c0"
91,M. Gonseth,w,person,58,328.022552,322.440918,30,"#4c463e"
92,J. Müller,m,person,14,-160.922272,-474.316833,30,"#c0c0c0"
93,E. Freitag,m,person,15,-454.730652,244.381577,30,"#c0c0c0"
94,R. Ris,m,person,74,317.842743,-17.291519,30,"#00bd94"
95,C. Thomas,m,person,79,660.459167,-197.040741,30,"#73c000"
96,H. Primas,m,person,79,1469.420776,-479.040009,30,"#73c000"
97,W. Schneider,m,person,79,1193.851074,-466.106537,30,"#73c000"
98,M. C. Bateson,w,person,11,468.251953,-1586.210938,30,"#00c4ff"
99,G. Enderle,m,person,58,30.864807,267.01062,30,"#4c463e"
100,R. Schlüssel,w,person,16,-299.211456,-427.75354,30,"#c0c0c0"
101,T. Matus,m,person,4,1670.757568,-1446.382202,30,"#df89ff"
102,L. Varela,w,person,11,-224.530273,-1493.754761,30,"#00c4ff"
103,H. Weber,m,person,58,433.378845,274.499786,30,"#4c463e"
104,D. Fölsch,m,person,17,-455.760437,0.938156,30,"#c0c0c0"
105,O. Schärli,m,person,79,636.17981,-143.634811,30,"#73c000"
106,M. Henglein,m,person,18,-428.11319,-725.614319,30,"#c0c0c0"
107,U. Zwahlen,w,person,19,-458.078003,365.302307,30,"#c0c0c0"
108,M. Parmiggiani,w,person,20,-436.793213,-301.986145,30,"#c0c0c0"
109,A. E. Hohler,m,person,58,588.140747,421.05481,30,"#4c463e"
110,L. Reymond,w,person,21,-161.571411,-294.275085,30,"#c0c0c0"
111,E. Blum,w,person,79,841.575317,66.630188,30,"#73c000"
112,B. Strecker,m,person,22,-449.062317,60.942558,30,"#c0c0c0"
113,E. Rosenberg,m,person,23,-295.109711,-605.53241,30,"#c0c0c0"
114,P. Bumbacher,m,person,24,-328.123962,424.465485,30,"#c0c0c0"
115,P. Binz,m,person,25,-316.525574,-5.363293,30,"#c0c0c0"
116,C. Eugster,m,person,26,-181.709564,487.399597,30,"#c0c0c0"
117,R. Frei,m,person,27,-167.18631,0.80294,30,"#c0c0c0"
118,E. Wertenschlag,w,person,79,1595.170044,-522.562927,30,"#73c000"
119,G. Poupart,m,person,79,711.348328,-279.109741,30,"#73c000"
120,G. Goerges,m,person,28,-444.076019,-122.307732,30,"#c0c0c0"
121,G. Schibler,w,person,29,-307.142151,-181.216278,30,"#c0c0c0"
122,J. O. Stenflo,m,person,79,872.032898,3.843109,30,"#73c000"
123,B. Weiss,m,person,11,794.027954,-617.341064,30,"#00c4ff"
124,W. Mahler,m,person,30,-151.49118,-721.933105,30,"#c0c0c0"
125,A. Schilling,m,person,31,-431.460541,-483.629913,30,"#c0c0c0"
126,T. Zellweger,m,person,79,738.548401,-29.154648,30,"#73c000"
127,B. Spoerri,m,person,75,1975.784302,221.283508,30,"#c0c0c0"
128,N. Egenter,m,person,4,564.440491,-372.812988,30,"#df89ff"
