source,target,attribute
1,20001,person_workshop
3,20002,person_workshop
2,20002,person_workshop
4,20008,person_workshop
4,20007,person_workshop
5,20009,person_workshop
6,20006,person_workshop
6,20005,person_workshop
7,20004,person_workshop
7,20003,person_workshop
8,20010,person_workshop
61,20012,person_workshop
61,20011,person_workshop
79,20014,person_workshop
33,20015,person_workshop
33,20012,person_workshop
80,20017,person_workshop
74,20014,person_workshop
81,20018,person_workshop
81,20019,person_workshop
82,20020,person_workshop
82,20021,person_workshop
75,20022,person_workshop
83,20023,person_workshop
76,20024,person_workshop
76,20025,person_workshop
84,20026,person_workshop
51,20017,person_workshop
85,20027,person_workshop
85,20021,person_workshop
34,20028,person_workshop
34,20017,person_workshop
86,20029,person_workshop
77,20030,person_workshop
77,20019,person_workshop
87,20031,person_workshop
87,20032,person_workshop
78,20033,person_workshop
78,20026,person_workshop
88,20034,person_workshop
50,20034,person_workshop
89,20035,person_workshop
90,20035,person_workshop
91,20036,person_workshop
39,20036,person_workshop
19,20036,person_workshop
92,20036,person_workshop
98,20037,person_workshop
25,20038,person_workshop
99,20039,person_workshop
109,20040,person_workshop
109,20041,person_workshop
101,20042,person_workshop
94,20043,person_workshop
91,20044,person_workshop
19,20044,person_workshop
92,20044,person_workshop
39,20044,person_workshop
102,20044,person_workshop
78,20045,person_workshop
103,20046,person_workshop
104,20047,person_workshop
105,20047,person_workshop
106,20047,person_workshop
100,20048,person_workshop
107,20049,person_workshop
24,20049,person_workshop
16,20050,person_workshop
50,20051,person_workshop
88,20051,person_workshop
81,20052,person_workshop
51,20053,person_workshop
108,20041,person_workshop
110,20054,person_workshop
111,20055,person_workshop
95,20055,person_workshop
112,20055,person_workshop
113,20056,person_workshop
114,20056,person_workshop
115,20056,person_workshop
116,20039,person_workshop
117,20039,person_workshop
82,20057,person_workshop
118,20058,person_workshop
80,20059,person_workshop
117,20059,person_workshop
120,20059,person_workshop
124,20059,person_workshop
119,20059,person_workshop
121,20060,person_workshop
122,20061,person_workshop
77,20062,person_workshop
77,20063,person_workshop
87,20016,person_workshop
142,20069,person_workshop
144,20075,person_workshop
132,20098,person_workshop
78,20073,person_workshop
77,20074,person_workshop
91,20044,person_workshop
19,20100,person_workshop
